trap_id,year,week,zone,spp,total
LC-001,2024,25,BE,Tarsalis,1
LC-001,2024,25,BE,Pipiens,1
LC-049,2024,25,BE,Tarsalis,1
LC-054,2024,25,BE,Tarsalis,4
FC-006,2024,25,NE,Pipiens,2
FC-014,2024,25,NE,Tarsalis,8
FC-034,2024,25,NE,Tarsalis,13
FC-036,2024,25,NW,Pipiens,3
FC-036,2024,25,NW,Tarsalis,21
FC-038,2024,25,NE,Tarsalis,25
FC-040,2024,25,NE,Pipiens,2
FC-040,2024,25,NE,Tarsalis,12
FC-040gr,2024,25,NE,Pipiens,18
FC-066,2024,25,NE,Tarsalis,47
FC-066,2024,25,NE,Pipiens,8
FC-067,2024,25,NE,Pipiens,1
FC-067,2024,25,NE,Tarsalis,1
FC-069,2024,25,NE,Pipiens,1
FC-069,2024,25,NE,Tarsalis,6
FC-072,2024,25,NE,Tarsalis,8
FC-091gr,2024,25,NE,Pipiens,1
FC-092gr,2024,25,NE,Pipiens,4
FC-004,2024,25,SE,Tarsalis,7
FC-023,2024,25,SE,Tarsalis,1
FC-027,2024,25,SE,Pipiens,1
FC-027,2024,25,SE,Tarsalis,1
FC-031,2024,25,SE,Tarsalis,18
FC-039,2024,25,SE,Tarsalis,1
FC-046,2024,25,SE,Tarsalis,4
FC-047,2024,25,SE,Tarsalis,8
FC-050,2024,25,SE,Tarsalis,4
FC-053,2024,25,SE,Tarsalis,20
FC-059,2024,25,SE,Tarsalis,3
FC-064,2024,25,SE,Tarsalis,12
FC-074,2024,25,SE,Tarsalis,13
FC-075,2024,25,SE,Tarsalis,2
FC-075gr,2024,25,SE,Pipiens,8
FC-075gr,2024,25,SE,Tarsalis,2
FC-088gr,2024,25,SE,Pipiens,19
FC-088gr,2024,25,SE,Tarsalis,1
FC-011,2024,25,NW,Tarsalis,2
FC-041,2024,25,NW,Pipiens,3
FC-052,2024,25,NW,Pipiens,1
FC-052,2024,25,NW,Tarsalis,6
FC-058,2024,25,SW,Tarsalis,1
FC-060,2024,25,NW,Pipiens,1
FC-061,2024,25,NW,Pipiens,10
FC-061,2024,25,NW,Tarsalis,2
FC-073,2024,25,NW,Tarsalis,3
FC-073,2024,25,NW,Pipiens,1
FC-090gr,2024,25,NW,Pipiens,3
FC-001,2024,25,SW,Tarsalis,3
FC-029gr,2024,25,SE,Pipiens,4
FC-037,2024,25,SW,Tarsalis,6
FC-037,2024,25,SW,Pipiens,4
FC-054,2024,25,SE,Tarsalis,2
FC-089gr,2024,25,SW,Pipiens,3
FC-093,2024,25,SW,Tarsalis,1
LV-004,2024,25,LV,Tarsalis,12
LV-069,2024,25,LV,Tarsalis,2
LV-078,2024,25,LV,Tarsalis,11
LV-079gr,2024,25,LV,Pipiens,1
LV-080,2024,25,LV,Pipiens,2
LV-080,2024,25,LV,Tarsalis,22
LV-088,2024,25,LV,Tarsalis,31
LV-088,2024,25,LV,Pipiens,3
LV-095,2024,25,LV,Tarsalis,12
LV-116,2024,25,LV,Pipiens,1
LV-117,2024,25,LV,Tarsalis,3
LV-117,2024,25,LV,Pipiens,1
