"year","week","zone","spp","pools_G","pools_L","n_pools","pos_pools_G","pos_pools_L","n_pos_pools","mosq","mosq_L","trap_L_func","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"2024","23","NW","Pipiens",1,3,4,0,0,0,9,4,9,0.44,0,0,0.2346,0,0,0.1032
"2024","23","NW","Tarsalis",0,4,4,0,0,0,11,11,9,1.22,0,0,0.2072,0,0,0.2528
"2024","23","NW","All",1,7,8,0,0,0,20,15,9,1.66,0,0,0.214457831325301,0,0,0.356
"2024","23","NE","Pipiens",2,3,5,0,0,0,12,5,10,0.5,0,0,0.2045,0,0,0.1022
"2024","23","NE","Tarsalis",1,6,7,0,0,0,26,25,10,2.5,0,0,0.0982,0,0,0.2455
"2024","23","NE","All",3,9,12,0,0,0,38,30,10,3,0,0,0.1159,0,0,0.3477
"2024","23","SE","Pipiens",3,1,4,0,0,0,15,1,14,0.07,0,0,0.1509,0,0,0.0106
"2024","23","SE","Tarsalis",0,9,9,0,0,0,24,24,14,1.71,0,0,0.1175,0,0,0.2009
"2024","23","SE","All",3,10,13,0,0,0,39,25,14,1.78,0,0,0.118820224719101,0,0,0.2115
"2024","23","SW","Pipiens",1,3,4,0,0,0,4,3,9,0.33,0,0,0.4899,0,0,0.1617
"2024","23","SW","Tarsalis",0,4,4,0,0,0,21,21,9,2.33,0,0,0.0848,0,0,0.1976
"2024","23","SW","All",1,7,8,0,0,0,25,24,9,2.66,0,0,0.135075187969925,0,0,0.3593
"2024","23","FC","Pipiens",7,10,17,0,0,0,40,13,42,0.31,0,0,0.0791,0,0,0.0245
"2024","23","FC","Tarsalis",1,23,24,0,0,0,82,81,42,1.93,0,0,0.0393,0,0,0.0758
"2024","23","FC","All",8,33,41,0,0,0,122,94,42,2.24,0,0,0.0447767857142857,0,0,0.1003
"2024","23","LV","Tarsalis",0,6,6,0,0,0,53,53,6,8.83,0,0,0.0456,0,0,0.4026
"2024","23","LV","All",0,6,6,0,0,0,53,53,6,8.83,0,0,0.04559456398641,0,0,0.4026
"2024","23","BE","Pipiens",0,1,1,0,0,0,1,1,10,0.1,0,0,0.7935,0,0,0.0794
"2024","23","BE","Tarsalis",0,3,3,0,0,0,5,5,10,0.5,0,0,0.367,0,0,0.1835
