"","year","week","zone","spp","mosq","n_trap","abund"
"1",2019,23,"LV","All",54,12,4.5
"2",2019,23,"LV","Pipiens",15,12,1.25
"3",2019,23,"LV","Tarsalis",39,12,3.25
"4",2019,23,"NE","All",16,5,3.2
"5",2019,23,"NE","Tarsalis",16,5,3.2
"6",2019,23,"SE","All",23,4,5.75
"7",2019,23,"SE","Tarsalis",23,4,5.75
"8",2019,24,"BE","All",5,1,5
"9",2019,24,"BE","Tarsalis",5,1,5
"10",2019,24,"LV","All",60,13,4.62
"11",2019,24,"LV","Pipiens",2,13,0.15
"12",2019,24,"LV","Tarsalis",58,13,4.46
"13",2019,24,"NE","All",6,2,3
"14",2019,24,"NE","Tarsalis",6,2,3
"15",2019,24,"NW","All",2,1,2
"16",2019,24,"NW","Tarsalis",2,1,2
"17",2019,24,"SE","All",9,2,4.5
"18",2019,24,"SE","Tarsalis",9,2,4.5
"19",2019,24,"SW","All",5,1,5
"20",2019,24,"SW","Pipiens",5,1,5
"21",2019,25,"BE","All",4,1,4
"22",2019,25,"BE","Tarsalis",4,1,4
"23",2019,25,"LV","All",55,17,3.24
"24",2019,25,"LV","Pipiens",3,17,0.18
"25",2019,25,"LV","Tarsalis",52,17,3.06
"26",2019,25,"NE","All",9,2,4.5
"27",2019,25,"NE","Tarsalis",9,2,4.5
"28",2019,25,"NW","All",2,1,2
"29",2019,25,"NW","Pipiens",1,1,1
"30",2019,25,"NW","Tarsalis",1,1,1
"31",2019,25,"SE","All",164,10,16.4
"32",2019,25,"SE","Pipiens",5,10,0.5
"33",2019,25,"SE","Tarsalis",159,10,15.9
"34",2019,25,"SW","All",6,1,6
"35",2019,25,"SW","Tarsalis",6,1,6
"36",2019,26,"BE","All",14,2,7
"37",2019,26,"BE","Pipiens",1,2,0.5
"38",2019,26,"BE","Tarsalis",13,2,6.5
"39",2019,26,"LV","All",350,30,11.67
"40",2019,26,"LV","Pipiens",20,30,0.67
"41",2019,26,"LV","Tarsalis",330,30,11
"42",2019,26,"NE","All",276,9,30.67
"43",2019,26,"NE","Pipiens",4,9,0.44
"44",2019,26,"NE","Tarsalis",272,9,30.22
"45",2019,26,"NW","All",29,3,9.67
"46",2019,26,"NW","Pipiens",2,3,0.67
"47",2019,26,"NW","Tarsalis",27,3,9
"48",2019,26,"SE","All",341,11,31
"49",2019,26,"SE","Pipiens",2,11,0.18
"50",2019,26,"SE","Tarsalis",339,11,30.82
"51",2019,26,"SW","All",11,2,5.5
"52",2019,26,"SW","Tarsalis",11,2,5.5
"53",2019,27,"BE","All",168,4,42
"54",2019,27,"BE","Tarsalis",168,4,42
"55",2019,27,"LV","All",1137,28,40.61
"56",2019,27,"LV","Pipiens",40,28,1.43
"57",2019,27,"LV","Tarsalis",1097,28,39.18
"58",2019,27,"NE","All",412,10,41.2
"59",2019,27,"NE","Pipiens",16,10,1.6
"60",2019,27,"NE","Tarsalis",396,10,39.6
"61",2019,27,"NW","All",73,4,18.25
