"","csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","zone","status"
"1","CDC016","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",50,0,TRUE,NA,NA,"BE","old + new"
"2","CDC017","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",40,0,TRUE,NA,NA,"BE","old + new"
"3","CDC018","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",3,0,TRUE,NA,NA,"BE","old + new"
"4","CDC015","BE-001",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"5","CDC011","BE-002",2024,25,"2024-06-19","LC","L","Tarsalis",9,0,TRUE,NA,NA,"BE","old + new"
"6","CDC010","BE-002",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"7","CDC009","BE-003",2024,25,"2024-06-19","LC","L","Tarsalis",43,0,TRUE,NA,NA,"BE","old + new"
"8","CDC012","BE-003",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"9","CSU00000","BE-003",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"10","CDC013","BE-004",2024,25,"2024-06-19","LC","L","Tarsalis",8,0,TRUE,NA,NA,"BE","old + new"
"11","CDC014","BE-004",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"12","CDC005","BE-005",2024,25,"2024-06-19","LC","L","Tarsalis",5,0,TRUE,NA,NA,"BE","old + new"
"13","CDC008","BE-005",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"14","CSU21898","LC-001",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"15","CSU21899","LC-001",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"16","CSU21900","LC-049",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"17","CSU00000","LC-049",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"18","CSU21897","LC-054",2024,25,"2024-06-19","LC","L","Tarsalis",4,0,TRUE,NA,NA,"BE","old + new"
"19","CSU00000","LC-054",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"20","CDC027","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",11,0,TRUE,TRUE,NA,"BE","old + new"
"21","CDC028","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"22","CDC029","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"23","CDC030","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"24","CDC031","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"25","CDC032","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",4,0,TRUE,TRUE,NA,"BE","old + new"
"26","CDC026","BE-001",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"27","CDC019","BE-002",2024,26,"2024-06-26","LC","L","Tarsalis",34,0,TRUE,FALSE,NA,"BE","old + new"
"28","CSU00000","BE-002",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"29","CDC033","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",18,0,TRUE,TRUE,NA,"BE","old + new"
"30","CDC034","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",5,0,TRUE,TRUE,NA,"BE","old + new"
"31","CDC035","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",38,0,TRUE,FALSE,NA,"BE","old + new"
"32","CSU00000","BE-003",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"33","CDC020","BE-004",2024,26,"2024-06-26","LC","L","Tarsalis",36,0,TRUE,FALSE,NA,"BE","old + new"
"34","CDC021","BE-004",2024,26,"2024-06-26","LC","L","Tarsalis",4,0,TRUE,TRUE,NA,"BE","old + new"
"35","CDC022","BE-004",2024,26,"2024-06-26","LC","L","Pipiens",8,0,TRUE,TRUE,NA,"BE","old + new"
"36","CDC024","BE-005",2024,26,"2024-06-26","LC","L","Tarsalis",1,0,TRUE,TRUE,NA,"BE","old + new"
"37","CDC025","BE-005",2024,26,"2024-06-26","LC","L","Tarsalis",24,0,TRUE,TRUE,NA,"BE","old + new"
"38","CDC023","BE-005",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"39","CSU21981","LC-001",2024,26,"2024-06-26","LC","L","Tarsalis",16,0,TRUE,TRUE,NA,"BE","old + new"
"40","CSU21982","LC-001",2024,26,"2024-06-26","LC","L","Pipiens",3,0,TRUE,TRUE,NA,"BE","old + new"
"41","CSU21984","LC-049",2024,26,"2024-06-26","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"42","CSU00000","LC-049",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"43","CSU21989","LC-053",2024,26,"2024-06-26","LC","L","Tarsalis",42,0,TRUE,FALSE,NA,"BE","old + new"
"44","CSU21990","LC-053",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"45","CSU21978","LC-054",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"46","CSU21979","LC-054",2024,26,"2024-06-26","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"47","CSU21980","LC-054",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"48","CSU21983","WC-055",2024,26,"2024-06-26","LC","L","Tarsalis",1,0,TRUE,TRUE,NA,"BE","old + new"
"49","CSU00000","WC-055",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"50","CDC048","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"51","CDC049","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"52","CDC050","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"53","CDC051","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"54","CDC052","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",28,0,TRUE,TRUE,NA,"BE","old + new"
